year,country,sex,name,count,prop,ranking,rank_other
1997,W,F,JASMINE,53,0.00315269763845101,69,46
1997,W,F,KELSEY,53,0.00315269763845101,69,116
1997,W,F,KELLY,52,0.00309321277734817,71,84
1997,W,F,AMELIA,49,0.00291475819403962,72,48
1997,W,F,RHIAN,48,0.00285527333293677,73,337
1997,W,F,DEMI,47,0.00279578847183392,74,80
1997,W,F,ERIN,47,0.00279578847183392,74,106
1997,W,F,LOUISE,46,0.00273630361073107,76,45
1997,W,F,MELISSA,46,0.00273630361073107,76,47
1997,W,F,CATHERINE,45,0.00267681874962822,78,73
1997,W,F,ELINOR,44,0.00261733388852537,79,364
1997,W,F,ELLA,43,0.00255784902742252,80,44
1997,W,F,GEORGINA,43,0.00255784902742252,80,31
1997,W,F,LOIS,43,0.00255784902742252,80,128
1997,W,F,SIONED,43,0.00255784902742252,80,
1997,W,F,STACEY,43,0.00255784902742252,80,135
1997,W,F,NATALIE,42,0.00249836416631967,85,50
1997,W,F,ELIN,41,0.00243887930521682,86,1181
1997,W,F,MOLLIE,41,0.00243887930521682,86,77
1997,W,F,CASEY,40,0.00237939444411397,88,118
1997,W,F,TIFFANY,38,0.00226042472190827,89,114
1997,W,F,CARA,37,0.00220093986080543,90,166
1997,W,F,JORDAN,37,0.00220093986080543,90,107
1997,W,F,SEREN,37,0.00220093986080543,90,1237
1997,W,F,ALICIA,36,0.00214145499970258,93,81
1997,W,F,CERI,36,0.00214145499970258,93,504
1997,W,F,ELLEN,36,0.00214145499970258,93,66
1997,W,F,FRANCESCA,36,0.00214145499970258,93,60
1997,W,F,HOLLIE,35,0.00208197013859973,97,67
1997,W,F,TAYLOR,35,0.00208197013859973,97,122
1997,W,F,NIAMH,34,0.00202248527749688,99,86
1997,W,F,TIA,34,0.00202248527749688,99,97
1997,W,M,JOSHUA,572,0.0322999604720763,1,5
1997,W,M,DANIEL,551,0.0311141227624372,2,4
1997,W,M,THOMAS,542,0.0306059066011633,3,3
1997,W,M,JACK,476,0.0268789880851544,4,1
1997,W,M,JAMES,433,0.0244508442035123,5,2
1997,W,M,JORDAN,417,0.023547348805692,6,10
1997,W,M,LIAM,379,0.0214015472358688,7,19
1997,W,M,MATTHEW,369,0.0208368626122311,8,6
1997,W,M,CALLUM,351,0.0198204302896832,9,18
1997,W,M,RYAN,333,0.0188039979671354,10,9
1997,W,M,SAMUEL,312,0.0176181602574962,11,7
1997,W,M,LUKE,311,0.0175616917951324,12,11
1997,W,M,RHYS,300,0.016940538709131,13,60
1997,W,M,CONNOR,290,0.0163758540854933,14,14
1997,W,M,JOSEPH,289,0.0163193856231295,15,8
1997,W,M,LEWIS,268,0.0151335479134903,16,22
1997,W,M,BENJAMIN,237,0.0133830255802135,17,13
1997,W,M,NATHAN,202,0.0114066293974815,18,26
1997,W,M,ADAM,196,0.0110678186232989,19,20
1997,W,M,WILLIAM,190,0.0107290078491163,20,17
1997,W,M,ALEXANDER,184,0.0103901970749336,21,16
1997,W,M,KIERAN,163,0.00920435936529448,22,28
1997,W,M,DAVID,161,0.00909142244056694,23,40
1997,W,M,KYLE,161,0.00909142244056694,23,39
1997,W,M,JACOB,157,0.00886554859111186,25,30
1997,W,M,JAKE,156,0.0088090801287481,26,21
1997,W,M,MICHAEL,156,0.0088090801287481,26,24
1997,W,M,AARON,148,0.00835733242983794,28,33
1997,W,M,DYLAN,145,0.00818792704274663,29,57
1997,W,M,JAMIE,135,0.00762324241910893,30,32
1997,W,M,SCOTT,135,0.00762324241910893,30,51
1997,W,M,ASHLEY,129,0.00728443164492631,32,46
1997,W,M,ALEX,123,0.00694562087074369,33,44
1997,W,M,BRANDON,123,0.00694562087074369,33,37
1997,W,M,BEN,120,0.00677621548365238,35,29
1997,W,M,HARRY,120,0.00677621548365238,35,12
1997,W,M,CAMERON,117,0.00660681009656107,37,36
1997,W,M,CHRISTOPHER,114,0.00643740470946976,38,25
1997,W,M,IEUAN,114,0.00643740470946976,38,404
1997,W,M,ROBERT,112,0.00632446778474222,40,34
1997,W,M,ETHAN,110,0.00621153086001468,41,65
1997,W,M,TOMOS,109,0.00615506239765091,42,775
1997,W,M,OWEN,107,0.00604212547292337,43,82
1997,W,M,COREY,105,0.00592918854819583,44,104
1997,W,M,GEORGE,104,0.00587272008583206,45,15
1997,W,M,MORGAN,102,0.00575978316110452,46,136
1997,W,M,OLIVER,100,0.00564684623637698,47,23
1997,W,M,DAFYDD,92,0.00519509853746683,48,1291
1997,W,M,BRADLEY,90,0.00508216161273929,49,27
1997,W,M,ANDREW,84,0.00474335083855667,50,38
1997,W,M,JONATHAN,83,0.0046868823761929,51,45
1997,W,M,SEAN,83,0.0046868823761929,51,54
1997,W,M,CURTIS,79,0.00446100852673782,53,87
1997,W,M,SION,77,0.00434807160201028,54,1685
1997,W,M,LLOYD,76,0.00429160313964651,55,212
1997,W,M,SHAUN,75,0.00423513467728274,56,86
1997,W,M,GARETH,74,0.00417866621491897,57,150
1997,W,M,JOEL,74,0.00417866621491897,57,79
1997,W,M,ALED,72,0.00406572929019143,59,1685
1997,W,M,CONOR,71,0.00400926082782766,60,64
1997,W,M,RICHARD,70,0.00395279236546389,61,71
1997,W,M,SHANE,68,0.00383985544073635,62,79
1997,W,M,SAM,66,0.00372691851600881,63,47
1997,W,M,NICHOLAS,65,0.00367045005364504,64,56
1997,W,M,OWAIN,65,0.00367045005364504,64,431
1997,W,M,STEFFAN,65,0.00367045005364504,64,842
1997,W,M,JOHN,64,0.00361398159128127,67,49
1997,W,M,ELLIS,63,0.0035575131289175,68,106
1997,W,M,LEON,59,0.00333163927946242,69,105
1997,W,M,DECLAN,57,0.00321870235473488,70,69
1997,W,M,ROSS,57,0.00321870235473488,70,59
